x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,target
84.57241,68.61995,711.27227,0.04655,-0.04655,-0.04655,99.88378,0.11622,99.84441,0.15559,98.69147,11.89030,0.00000,0.00000,0.00000,0.00000,15.95246,94.06516,775.57960,93.94894,791.10831,1.87573,17.18348,2.16862,103.24940,10.95302,94.65414,0.59798,7.62611,67.76284,0.02062,145.51693,11.32793,0.35429,94.98585,4.32296,3.32921,59.20000,1.40000,41.45350,7.84126,11.57163,3.70974,1
11.36634,8.84574,13.56495,43.25348,-32.72300,-0.77584,53.42700,46.57300,48.51066,51.48934,49.44231,59.17256,10.09899,23.64676,60.37396,102.03033,2.52060,33.01379,61.30550,10.27525,39.39972,1.34944,12.87706,1.52115,185.22504,2.37622,53.83785,1.28881,71.81715,40.65942,0.98897,150.72578,6.49353,3.36867,83.43929,65.24333,0.67873,113.43196,0.00000,37.82129,1.79457,4.41367,1.63012,1
7.57898,2.24917,9.16326,151.07153,-57.78439,5.76856,50.11398,49.88602,38.66431,61.33569,54.66028,47.81963,26.57308,6.41540,71.06927,148.61944,5.32981,25.48087,64.88686,8.11940,30.80731,1.13148,12.23939,1.35028,77.20436,2.64703,49.46756,1.46016,46.76640,58.34834,1.58156,130.21473,8.14515,4.25428,84.79842,57.67325,1.20397,147.54706,0.00000,38.56110,3.12224,5.35103,0.64723,1
12.39855,6.90568,14.92250,72.20918,-26.54730,-5.57608,66.02563,33.97437,57.07273,42.92727,57.18749,66.77015,5.88118,13.80336,62.13713,93.06124,5.49287,33.27831,62.44555,9.48440,40.05270,1.36049,11.56290,1.63012,74.87120,3.03882,61.40689,1.12016,44.89082,50.42369,0.85409,133.09553,8.74618,4.91768,88.64666,66.33878,1.54473,99.01461,1.05202,61.24810,2.49530,4.94866,1.59927,0
14.95847,12.33147,17.94033,31.21682,-5.10931,2.13767,22.82946,77.17054,18.15990,81.84010,1.86246,83.20838,0.08384,12.21109,33.75104,40.56207,2.62700,56.53537,116.53681,0.68722,67.80526,1.40705,11.11513,1.59927,23.97167,2.53307,62.00483,1.40644,81.69821,42.13905,0.20704,195.75505,3.42593,0.74707,70.89548,30.26340,1.21033,167.33677,2.04467,69.44745,1.72150,4.08529,2.15674,0
61.08908,56.34119,166.29570,-9.46149,10.37591,10.37591,63.15700,36.84300,68.93694,31.06306,17.42259,36.73522,0.00000,44.70525,3.07089,8.35952,4.74789,93.88378,309.97324,57.58646,255.56888,0.84837,10.05120,0.97885,9.62614,5.70886,82.42728,1.18771,44.63576,38.41913,0.08370,253.25032,5.86041,0.12218,83.14860,4.39004,1.86732,132.45833,4.29167,67.90287,2.66089,6.92594,4.18135,1
19.56566,16.21425,70.32558,-3.31078,3.31111,3.31111,66.51704,33.48296,67.16482,32.83518,63.21798,27.77042,0.00000,28.52239,44.58866,160.56169,3.35141,25.04991,89.87649,11.36106,90.03784,0.45018,4.17378,0.34914,8.86434,2.39214,84.74625,0.33808,30.58987,39.15352,0.68065,135.76599,6.18155,3.69692,94.81448,76.98528,0.67531,92.12444,6.01778,57.11169,1.10519,2.82271,1.03687,1
9.48494,4.36685,11.48193,137.25128,-53.82320,3.13777,44.31018,55.68982,31.29197,68.70803,28.04403,62.72330,16.17663,7.25856,76.68579,122.26046,5.11809,18.95185,41.99007,5.16257,22.94202,0.29184,2.03095,0.38263,2.17943,2.38480,66.96523,0.56832,25.36299,62.92006,0.81158,118.41480,7.92309,4.93017,93.30714,68.75237,1.23577,129.07632,2.73777,53.98023,2.24074,3.56125,0.50893,0
14.93768,13.83451,18.28682,119.17575,-73.95444,-2.75713,78.96488,21.03512,61.16279,38.83721,56.57802,71.38585,7.10131,13.43808,44.11406,61.79664,1.10317,50.80099,64.43509,43.88060,62.19097,1.30780,13.71887,1.09930,40.03162,5.27241,85.74162,0.84633,25.05738,54.92690,0.13853,140.20031,8.81984,3.51699,91.24444,51.01116,1.17498,190.26886,1.72727,34.47220,3.37756,6.14918,2.63309,1
9.81863,1.26321,12.58074,138.21814,-102.38531,6.31735,69.10624,30.89376,55.53511,44.46489,56.01381,55.31609,12.70362,15.29653,60.96939,110.21999,8.55543,28.28416,51.34673,12.48240,36.24085,1.20068,10.05017,1.37231,68.50424,2.60746,55.86929,0.92212,32.78263,60.26985,1.44570,125.94203,8.07971,4.33476,89.75630,60.64645,1.31039,85.39929,0.48240,46.32281,2.81283,4.66706,0.40853,1
